"기준_년분기_코드","서울시_코드","서울시_코드_명","서비스_업종_코드","서비스_업종_코드_명","전체_점포_수","일반_점포_수","프랜차이즈_점포_수","개업_율","개업_점포_수","폐업_률","폐업_점포_수"
"20261","11","서울시","CS300017","시계및귀금속","5799","5679","120","1","71","2","110"
"20261","11","서울시","CS300016","안경","2744","2048","696","2","54","2","49"
"20261","11","서울시","CS300015","가방","2953","2934","19","2","53","2","66"
"20261","11","서울시","CS300014","신발","4073","3992","81","1","23","3","102"
"20261","11","서울시","CS300013","유아의류","1628","1544","84","1","15","3","51"
"20261","11","서울시","CS300012","한복점","353","353","0","5","16","2","7"
"20261","11","서울시","CS300011","일반의류","45884","45796","88","1","463","2","1051"
"20261","11","서울시","CS300010","반찬가게","9725","9371","354","2","206","3","246"
"20261","11","서울시","CS300009","청과상","8760","8726","34","1","92","3","223"
"20261","11","서울시","CS300008","수산물판매","5120","5076","44","0","13","2","114"
"20261","11","서울시","CS300007","육류판매","6895","6865","30","1","77","3","178"
"20261","11","서울시","CS300006","미곡판매","2798","2798","0","1","17","3","77"
"20261","11","서울시","CS300005","주류도매","861","861","0","0","1","1","10"
"20261","11","서울시","CS300004","핸드폰","6227","6167","60","0","26","2","116"
"20261","11","서울시","CS300003","컴퓨터및주변장치판매","8982","8979","3","1","49","2","145"
"20261","11","서울시","CS300002","편의점","8886","2465","6421","2","137","3","244"
"20261","11","서울시","CS300001","슈퍼마켓","13186","9356","3830","4","472","3","339"
"20261","11","서울시","CS200047","가정용품임대","1008","1006","2","0","0","2","20"
"20261","11","서울시","CS200046","의류임대","555","553","2","0","0","3","15"
"20261","11","서울시","CS200045","비디오/서적임대","223","203","20","5","10","3","6"
"20261","11","서울시","CS200044","여행사","6664","6660","4","0","29","2","113"
"20261","11","서울시","CS200043","건축물청소","5570","5470","100","0","7","2","117"
"20261","11","서울시","CS200042","통번역서비스","2042","2042","0","0","1","3","58"
"20261","11","서울시","CS200041","사진관","6819","6696","123","2","113","3","168"
"20261","11","서울시","CS200040","녹음실","1077","1075","2","0","1","2","20"
"20261","11","서울시","CS200039","DVD방","589","586","3","18","107","3","18"
"20261","11","서울시","CS200038","독서실","3496","3006","490","3","111","4","134"
"20261","11","서울시","CS200037","노래방","5462","5318","144","2","106","4","190"
"20261","11","서울시","CS200036","고시원","123","123","0","0","0","2","2"
"20261","11","서울시","CS200035","게스트하우스","1382","1370","12","0","2","3","45"
"20261","11","서울시","CS200034","여관","3295","3272","23","4","122","3","81"
"20261","11","서울시","CS200033","부동산중개업","36545","36491","54","0","28","2","699"
"20261","11","서울시","CS200032","가전제품수리","3064","3060","4","3","80","2","60"
"20261","11","서울시","CS200031","세탁소","6112","5069","1043","2","122","2","106"
"20261","11","서울시","CS200030","피부관리실","10381","10107","274","5","530","3","292"
"20261","11","서울시","CS200029","네일숍","4359","4282","77","0","0","3","108"
"20261","11","서울시","CS200028","미용실","21987","20353","1634","2","386","2","330"
"20261","11","서울시","CS200027","모터사이클수리","681","671","10","0","1","2","12"
"20261","11","서울시","CS200026","자동차미용","1743","1631","112","2","40","4","63"
"20261","11","서울시","CS200025","자동차수리","4543","4079","464","1","34","1","53"
"20261","11","서울시","CS200024","스포츠클럽","5476","5265","211","1","38","3","165"
"20261","11","서울시","CS200023","통신기기수리","551","551","0","4","22","2","9"
"20261","11","서울시","CS200022","복권방","1076","1076","0","0","3","3","28"
"20261","11","서울시","CS200021","기타오락장","1275","1110","165","3","37","2","30"
"20261","11","서울시","CS200020","전자게임장","215","200","15","1","2","4","9"
"20261","11","서울시","CS200019","PC방","1191","1065","126","1","6","4","52"
"20261","11","서울시","CS200018","볼링장","137","137","0","2","2","2","3"
"20261","11","서울시","CS200017","골프연습장","2004","1847","157","2","42","2","49"
"20261","11","서울시","CS200016","당구장","3734","3697","37","2","88","4","149"
"20261","11","서울시","CS200015","세무사사무소","7643","7643","0","0","23","1","65"
"20261","11","서울시","CS200014","회계사사무소","973","973","0","2","15","0","3"
"20261","11","서울시","CS200013","기타법무서비스","2316","2316","0","1","16","2","40"
"20261","11","서울시","CS200012","법무사사무소","2492","2492","0","3","66","1","20"
"20261","11","서울시","CS200011","변리사사무소","942","942","0","0","3","2","18"
"20261","11","서울시","CS200010","변호사사무소","4700","4700","0","1","57","2","95"
"20261","11","서울시","CS200009","동물병원","1063","1053","10","1","11","1","6"
"20261","11","서울시","CS200008","한의원","3877","3877","0","2","72","2","61"
"20261","11","서울시","CS200007","치과의원","4955","4955","0","1","55","1","63"
"20261","11","서울시","CS200006","일반의원","11795","11795","0","2","212","1","148"
"20261","11","서울시","CS200005","스포츠 강습","9179","8921","258","2","210","3","267"
"20261","11","서울시","CS200004","컴퓨터학원","387","383","4","0","0","2","6"
"20261","11","서울시","CS200003","예술학원","10296","9873","423","2","219","3","303"
"20261","11","서울시","CS200002","외국어학원","2695","2635","60","6","161","3","82"
"20261","11","서울시","CS200001","일반교습학원","25910","23654","2256","2","561","3","777"
"20261","11","서울시","CS100010","커피-음료","27333","20535","6798","3","927","4","1028"
"20261","11","서울시","CS100009","호프-간이주점","15595","13876","1719","2","313","4","597"
"20261","11","서울시","CS100008","분식전문점","11797","9033","2764","3","348","4","461"
"20261","11","서울시","CS100007","치킨전문점","5783","2085","3698","3","199","4","223"
"20261","11","서울시","CS100006","패스트푸드점","6225","2829","3396","3","192","4","253"
"20261","11","서울시","CS100005","제과점","7190","5364","1826","3","233","4","277"
"20261","11","서울시","CS100004","양식음식점","8606","7726","880","3","256","4","336"
"20261","11","서울시","CS100003","일식음식점","6626","5636","990","1","76","4","241"
"20261","11","서울시","CS100002","중식음식점","6194","5394","800","4","228","4","230"
"20261","11","서울시","CS100001","한식음식점","58744","51855","6889","3","1929","4","2101"
"20254","11","서울시","CS300043","전자상거래업","19079","19067","12","0","23","3","575"
"20254","11","서울시","CS300042","주유소","976","976","0","5","49","1","14"
"20254","11","서울시","CS300041","예술품","2358","2358","0","3","68","1","28"
"20254","11","서울시","CS300040","재생용품 판매점","1196","1196","0","0","0","1","15"
"20254","11","서울시","CS300039","모터사이클및부품","769","769","0","3","23","1","9"
"20254","11","서울시","CS300038","자동차부품","3481","3477","4","0","12","1","36"
"20254","11","서울시","CS300037","중고차판매","875","875","0","1","5","2","16"
"20254","11","서울시","CS300036","조명용품","10923","10915","8","0","17","1","65"
"20254","11","서울시","CS300035","인테리어","4310","4309","1","2","65","2","63"
"20254","11","서울시","CS300034","악기","781","781","0","1","8","0","2"
"20254","11","서울시","CS300033","철물점","2231","2231","0","2","38","1","26"
"20254","11","서울시","CS300032","가전제품","2465","2465","0","1","26","1","24"
"20254","11","서울시","CS300031","가구","3314","3311","3","1","21","1","40"
"20254","11","서울시","CS300030","중고가구","157","157","0","0","0","3","4"
"20254","11","서울시","CS300029","애완동물","2614","2433","181","4","116","3","66"
"20254","11","서울시","CS300028","화초","6179","6137","42","2","134","2","94"
"20254","11","서울시","CS300027","섬유제품","3141","3138","3","4","121","2","56"
"20254","11","서울시","CS300026","완구","1060","1058","2","5","50","1","12"
"20254","11","서울시","CS300025","자전거 및 기타운송장비","802","802","0","0","2","1","9"
"20254","11","서울시","CS300024","운동/경기용품","3882","3878","4","1","56","2","65"
"20254","11","서울시","CS300023","미용재료","1464","1464","0","2","34","2","35"
"20254","11","서울시","CS300022","화장품","13895","13138","757","2","220","2","260"
"20254","11","서울시","CS300021","문구","4484","4077","407","2","66","2","74"
"20254","11","서울시","CS300020","서적","4129","4051","78","1","56","2","66"
"20254","11","서울시","CS300019","의료기기","3786","3768","18","0","7","1","51"
"20254","11","서울시","CS300018","의약품","9114","8518","596","2","204","2","146"
"20254","11","서울시","CS300017","시계및귀금속","5839","5718","121","1","55","1","54"
"20254","11","서울시","CS300016","안경","2736","2039","697","1","35","1","36"
"20254","11","서울시","CS300015","가방","2965","2946","19","2","52","2","52"
"20254","11","서울시","CS300014","신발","4152","4069","83","0","12","2","80"
"20254","11","서울시","CS300013","유아의류","1664","1574","90","1","10","2","33"
"20254","11","서울시","CS300012","한복점","344","344","0","3","10","1","3"
"20254","11","서울시","CS300011","일반의류","46478","46387","91","1","468","2","889"
"20254","11","서울시","CS300010","반찬가게","9766","9415","351","2","236","2","200"
"20254","11","서울시","CS300009","청과상","8889","8853","36","1","87","2","171"
"20254","11","서울시","CS300008","수산물판매","5221","5179","42","0","16","1","71"
"20254","11","서울시","CS300007","육류판매","7000","6970","30","1","99","2","141"
"20254","11","서울시","CS300006","미곡판매","2858","2858","0","1","20","1","33"
"20254","11","서울시","CS300005","주류도매","870","870","0","0","0","1","6"
"20254","11","서울시","CS300004","핸드폰","6322","6259","63","1","37","1","76"
"20254","11","서울시","CS300003","컴퓨터및주변장치판매","9076","9073","3","1","63","1","79"
"20254","11","서울시","CS300002","편의점","8994","2506","6488","2","145","3","290"
"20254","11","서울시","CS300001","슈퍼마켓","13038","9219","3819","4","541","2","316"
"20254","11","서울시","CS200047","가정용품임대","1029","1027","2","0","1","2","25"
"20254","11","서울시","CS200046","의류임대","569","567","2","0","1","1","6"
"20254","11","서울시","CS200045","비디오/서적임대","219","198","21","2","5","2","4"
"20254","11","서울시","CS200044","여행사","6751","6746","5","1","35","1","81"
"20254","11","서울시","CS200043","건축물청소","5684","5578","106","0","3","1","59"
"20254","11","서울시","CS200042","통번역서비스","2099","2099","0","0","2","1","29"
"20254","11","서울시","CS200041","사진관","6874","6752","122","2","126","2","120"
"20254","11","서울시","CS200040","녹음실","1096","1094","2","0","2","2","16"
"20254","11","서울시","CS200039","DVD방","499","496","3","29","146","1","7"
"20254","11","서울시","CS200038","독서실","3519","3018","501","4","125","2","75"
"20254","11","서울시","CS200037","노래방","5547","5400","147","2","122","3","187"
"20254","11","서울시","CS200036","고시원","125","125","0","0","0","2","3"
"20254","11","서울시","CS200035","게스트하우스","1426","1413","13","0","4","2","24"
"20254","11","서울시","CS200034","여관","3255","3232","23","4","136","3","100"
"20254","11","서울시","CS200033","부동산중개업","37223","37169","54","0","22","2","605"
"20254","11","서울시","CS200032","가전제품수리","3039","3035","4","1","42","1","34"
"20254","11","서울시","CS200031","세탁소","6099","5058","1041","2","118","2","118"
"20254","11","서울시","CS200030","피부관리실","10132","9856","276","5","487","2","247"
"20254","11","서울시","CS200029","네일숍","4468","4389","79","0","2","2","96"
"20254","11","서울시","CS200028","미용실","21928","20284","1644","2","356","1","309"
"20254","11","서울시","CS200027","모터사이클수리","693","683","10","0","0","1","10"
"20254","11","서울시","CS200026","자동차미용","1766","1655","111","3","45","2","38"
"20254","11","서울시","CS200025","자동차수리","4561","4095","466","1","31","1","36"
"20254","11","서울시","CS200024","스포츠클럽","5605","5388","217","1","49","3","178"
"20254","11","서울시","CS200023","통신기기수리","538","538","0","1","6","2","11"
"20254","11","서울시","CS200022","복권방","1101","1101","0","0","0","2","23"
"20254","11","서울시","CS200021","기타오락장","1262","1097","165","4","50","5","57"
"20254","11","서울시","CS200020","전자게임장","222","207","15","1","2","4","8"
"20254","11","서울시","CS200019","PC방","1237","1108","129","1","12","5","61"
"20254","11","서울시","CS200018","볼링장","138","138","0","1","2","1","2"
"20254","11","서울시","CS200017","골프연습장","2011","1855","156","2","44","2","39"
"20254","11","서울시","CS200016","당구장","3797","3758","39","3","103","4","131"
"20254","11","서울시","CS200015","세무사사무소","7686","7686","0","0","19","1","56"
"20254","11","서울시","CS200014","회계사사무소","960","960","0","3","25","1","6"
"20254","11","서울시","CS200013","기타법무서비스","2339","2339","0","0","5","1","29"
"20254","11","서울시","CS200012","법무사사무소","2445","2445","0","2","41","0","10"
"20254","11","서울시","CS200011","변리사사무소","957","957","0","0","0","1","5"
"20254","11","서울시","CS200010","변호사사무소","4737","4737","0","1","40","1","52"
"20254","11","서울시","CS200009","동물병원","1058","1048","10","1","9","1","6"
"20254","11","서울시","CS200008","한의원","3866","3866","0","1","56","1","37"
"20254","11","서울시","CS200007","치과의원","4961","4961","0","1","37","1","39"
"20254","11","서울시","CS200006","일반의원","11723","11723","0","1","140","1","86"
"20254","11","서울시","CS200005","스포츠 강습","9234","8965","269","3","232","3","229"
"20254","11","서울시","CS200004","컴퓨터학원","393","389","4","1","3","2","6"
"20254","11","서울시","CS200003","예술학원","10377","9949","428","2","189","2","243"
"20254","11","서울시","CS200002","외국어학원","2617","2556","61","5","121","2","44"
"20254","11","서울시","CS200001","일반교습학원","26138","23889","2249","2","478","2","526"
"20254","11","서울시","CS100010","커피-음료","27443","20677","6766","3","829","4","1017"
"20254","11","서울시","CS100009","호프-간이주점","15880","14112","1768","2","369","4","634"
"20254","11","서울시","CS100008","분식전문점","11908","9116","2792","3","378","4","466"
"20254","11","서울시","CS100007","치킨전문점","5803","2094","3709","3","179","4","253"
"20254","11","서울시","CS100006","패스트푸드점","6285","2870","3415","3","206","4","274"
"20254","11","서울시","CS100005","제과점","7234","5358","1876","3","238","3","246"
"20254","11","서울시","CS100004","양식음식점","8684","7784","900","3","291","4","304"
"20254","11","서울시","CS100003","일식음식점","6792","5771","1021","1","96","4","265"
"20254","11","서울시","CS100002","중식음식점","6199","5403","796","3","205","4","245"
"20254","11","서울시","CS100001","한식음식점","58922","51899","7023","4","2136","4","2160"
"20253","11","서울시","CS300043","전자상거래업","19653","19641","12","0","18","4","703"
"20253","11","서울시","CS300042","주유소","941","941","0","1","6","3","26"
"20253","11","서울시","CS300041","예술품","2318","2318","0","3","67","2","41"
"20253","11","서울시","CS300040","재생용품 판매점","1211","1211","0","0","1","1","15"
"20253","11","서울시","CS300039","모터사이클및부품","756","756","0","4","28","3","26"
"20253","11","서울시","CS300038","자동차부품","3508","3504","4","0","12","1","40"
"20253","11","서울시","CS300037","중고차판매","886","886","0","1","8","3","24"
"20253","11","서울시","CS300036","조명용품","10973","10965","8","0","25","1","117"
"20253","11","서울시","CS300035","인테리어","4310","4309","1","2","82","2","65"
"20253","11","서울시","CS300034","악기","775","775","0","3","23","1","9"
"20253","11","서울시","CS300033","철물점","2218","2218","0","3","61","1","25"
"20253","11","서울시","CS300032","가전제품","2463","2463","0","1","33","2","37"
"20253","11","서울시","CS300031","가구","3336","3333","3","1","20","1","44"
"20253","11","서울시","CS300030","중고가구","161","161","0","0","0","1","1"
"20253","11","서울시","CS300029","애완동물","2564","2382","182","5","135","4","89"
"20253","11","서울시","CS300028","화초","6142","6099","43","2","129","2","112"
"20253","11","서울시","CS300027","섬유제품","3078","3075","3","4","112","2","47"
"20253","11","서울시","CS300026","완구","1026","1024","2","3","33","1","13"
"20253","11","서울시","CS300025","자전거 및 기타운송장비","808","808","0","1","8","2","13"
"20253","11","서울시","CS300024","운동/경기용품","3893","3889","4","3","99","2","66"
"20253","11","서울시","CS300023","미용재료","1450","1450","0","2","34","2","30"
"20253","11","서울시","CS300022","화장품","13944","13172","772","2","260","2","318"
"20253","11","서울시","CS300021","문구","4496","4083","413","2","67","2","90"
"20253","11","서울시","CS300020","서적","4145","4066","79","1","43","2","63"
"20253","11","서울시","CS300019","의료기기","3837","3817","20","0","2","2","59"
"20253","11","서울시","CS300018","의약품","9047","8458","589","2","216","2","165"
"20253","11","서울시","CS300017","시계및귀금속","5838","5723","115","1","55","2","96"
"20253","11","서울시","CS300016","안경","2738","2034","704","1","39","2","41"
"20253","11","서울시","CS300015","가방","2966","2947","19","2","56","2","61"
"20253","11","서울시","CS300014","신발","4222","4137","85","1","29","3","104"
"20253","11","서울시","CS300013","유아의류","1689","1597","92","3","45","3","55"
"20253","11","서울시","CS300012","한복점","337","337","0","6","19","1","3"
"20253","11","서울시","CS300011","일반의류","46919","46828","91","1","554","2","1074"
"20253","11","서울시","CS300010","반찬가게","9738","9398","340","3","299","2","235"
"20253","11","서울시","CS300009","청과상","8983","8943","40","2","142","2","172"
"20253","11","서울시","CS300008","수산물판매","5279","5236","43","0","22","2","92"
"20253","11","서울시","CS300007","육류판매","7045","7015","30","2","165","2","166"
"20253","11","서울시","CS300006","미곡판매","2875","2875","0","1","15","2","51"
"20253","11","서울시","CS300005","주류도매","878","878","0","0","0","2","14"
"20253","11","서울시","CS300004","핸드폰","6365","6308","57","1","32","2","117"
"20253","11","서울시","CS300003","컴퓨터및주변장치판매","9092","9089","3","1","62","2","137"
"20253","11","서울시","CS300002","편의점","9141","2545","6596","2","188","4","322"
"20253","11","서울시","CS300001","슈퍼마켓","12810","9003","3807","5","665","2","310"
"20253","11","서울시","CS200047","가정용품임대","1053","1051","2","0","4","2","21"
"20253","11","서울시","CS200046","의류임대","574","572","2","0","1","2","11"
"20253","11","서울시","CS200045","비디오/서적임대","218","197","21","1","2","2","4"
"20253","11","서울시","CS200044","여행사","6798","6793","5","1","31","2","99"
"20253","11","서울시","CS200043","건축물청소","5744","5638","106","0","4","1","82"
"20253","11","서울시","CS200042","통번역서비스","2128","2128","0","0","1","1","26"
"20253","11","서울시","CS200041","사진관","6867","6758","109","2","152","2","130"
"20253","11","서울시","CS200040","녹음실","1111","1109","2","1","6","1","11"
"20253","11","서울시","CS200039","DVD방","363","361","2","41","150","4","13"
"20253","11","서울시","CS200038","독서실","3470","2970","500","4","129","3","118"
"20253","11","서울시","CS200037","노래방","5617","5473","144","2","136","3","172"
"20253","11","서울시","CS200036","고시원","128","128","0","0","0","2","3"
"20253","11","서울시","CS200035","게스트하우스","1446","1433","13","0","4","2","31"
"20253","11","서울시","CS200034","여관","3222","3199","23","5","154","3","89"
"20253","11","서울시","CS200033","부동산중개업","37818","37764","54","0","45","2","723"
"20253","11","서울시","CS200032","가전제품수리","3030","3026","4","1","42","2","49"
"20253","11","서울시","CS200031","세탁소","6099","5050","1049","2","138","2","113"
"20253","11","서울시","CS200030","피부관리실","9884","9606","278","6","554","3","265"
"20253","11","서울시","CS200029","네일숍","4563","4477","86","0","7","2","105"
"20253","11","서울시","CS200028","미용실","21882","20250","1632","2","387","2","321"
"20253","11","서울시","CS200027","모터사이클수리","703","693","10","0","0","1","10"
"20253","11","서울시","CS200026","자동차미용","1760","1643","117","2","42","2","42"
"20253","11","서울시","CS200025","자동차수리","4572","4104","468","1","47","1","53"
"20253","11","서울시","CS200024","스포츠클럽","5741","5529","212","15","862","2","129"
"20253","11","서울시","CS200023","통신기기수리","543","543","0","3","14","2","10"
"20253","11","서울시","CS200022","복권방","1125","1125","0","0","1","1","16"
"20253","11","서울시","CS200021","기타오락장","1266","1099","167","4","51","3","35"
"20253","11","서울시","CS200020","전자게임장","228","214","14","1","3","5","12"
"20253","11","서울시","CS200019","PC방","1286","1159","127","2","23","6","73"
"20253","11","서울시","CS200018","볼링장","138","138","0","1","1","2","3"
"20253","11","서울시","CS200017","골프연습장","2006","1853","153","2","41","2","49"
"20253","11","서울시","CS200016","당구장","3826","3787","39","4","136","3","129"
"20253","11","서울시","CS200015","세무사사무소","7725","7725","0","0","30","1","63"
"20253","11","서울시","CS200014","회계사사무소","941","941","0","1","13","1","11"
"20253","11","서울시","CS200013","기타법무서비스","2362","2362","0","1","12","2","35"
"20253","11","서울시","CS200012","법무사사무소","2414","2414","0","2","38","1","24"
"20253","11","서울시","CS200011","변리사사무소","962","962","0","0","0","1","10"
"20253","11","서울시","CS200010","변호사사무소","4750","4750","0","1","52","2","84"
"20253","11","서울시","CS200009","동물병원","1056","1046","10","2","17","1","7"
"20253","11","서울시","CS200008","한의원","3846","3846","0","2","59","1","50"
"20253","11","서울시","CS200007","치과의원","4964","4964","0","1","44","1","42"
"20253","11","서울시","CS200006","일반의원","11665","11665","0","2","212","1","104"
"20253","11","서울시","CS200005","스포츠 강습","9231","8955","276","4","402","3","255"
"20253","11","서울시","CS200004","컴퓨터학원","397","392","5","0","0","3","11"
"20253","11","서울시","CS200003","예술학원","10431","9998","433","2","210","3","256"
"20253","11","서울시","CS200002","외국어학원","2541","2481","60","5","122","2","46"
"20253","11","서울시","CS200001","일반교습학원","26230","23986","2244","2","469","2","537"
"20253","11","서울시","CS100010","커피-음료","27633","20493","7140","4","1000","4","1214"
"20253","11","서울시","CS100009","호프-간이주점","16155","14357","1798","3","439","5","726"
"20253","11","서울시","CS100008","분식전문점","11997","9160","2837","4","435","4","519"
"20253","11","서울시","CS100007","치킨전문점","5877","2097","3780","4","227","4","252"
"20253","11","서울시","CS100006","패스트푸드점","6351","2893","3458","4","221","5","286"
"20253","11","서울시","CS100005","제과점","7245","5364","1881","4","269","3","234"
"20253","11","서울시","CS100004","양식음식점","8696","7789","907","3","275","4","354"
"20253","11","서울시","CS100003","일식음식점","6966","5922","1044","2","113","4","294"
"20253","11","서울시","CS100002","중식음식점","6240","5437","803","4","232","5","300"
"20253","11","서울시","CS100001","한식음식점","58963","51817","7146","4","2225","4","2207"
"20252","11","서울시","CS300043","전자상거래업","20379","20367","12","0","27","4","853"
"20252","11","서울시","CS300042","주유소","963","963","0","1","8","2","21"
"20252","11","서울시","CS300041","예술품","2293","2293","0","3","66","2","35"
"20252","11","서울시","CS300040","재생용품 판매점","1227","1227","0","0","2","1","12"
"20252","11","서울시","CS300039","모터사이클및부품","754","754","0","3","21","1","10"
"20252","11","서울시","CS300038","자동차부품","3539","3535","4","1","16","2","56"
"20252","11","서울시","CS300037","중고차판매","902","902","0","1","5","1","10"
"20252","11","서울시","CS300036","조명용품","11076","11068","8","0","25","1","88"
"20252","11","서울시","CS300035","인테리어","4296","4295","1","2","99","2","73"
"20252","11","서울시","CS300034","악기","760","760","0","2","12","1","4"
"20252","11","서울시","CS300033","철물점","2183","2183","0","2","50","1","28"
"20252","11","서울시","CS300032","가전제품","2473","2473","0","1","17","1","33"
"20252","11","서울시","CS300031","가구","3360","3357","3","1","28","1","44"
"20252","11","서울시","CS300030","중고가구","163","163","0","0","0","4","7"
"20252","11","서울시","CS300029","애완동물","2526","2346","180","6","158","3","79"
"20252","11","서울시","CS300028","화초","6124","6082","42","2","131","2","119"
"20252","11","서울시","CS300027","섬유제품","3006","3003","3","3","101","2","45"
"20252","11","서울시","CS300026","완구","1006","1004","2","5","47","3","27"
"20252","11","서울시","CS300025","자전거 및 기타운송장비","814","814","0","0","3","1","5"
"20252","11","서울시","CS300024","운동/경기용품","3868","3864","4","3","96","1","53"
"20252","11","서울시","CS300023","미용재료","1446","1446","0","3","49","3","38"
"20252","11","서울시","CS300022","화장품","14013","13224","789","2","249","2","289"
"20252","11","서울시","CS300021","문구","4518","4099","419","1","49","2","77"
"20252","11","서울시","CS300020","서적","4165","4088","77","1","56","3","107"
"20252","11","서울시","CS300019","의료기기","3899","3878","21","0","5","1","46"
"20252","11","서울시","CS300018","의약품","8986","8409","577","3","230","2","161"
"20252","11","서울시","CS300017","시계및귀금속","5882","5767","115","1","64","1","57"
"20252","11","서울시","CS300016","안경","2740","2034","706","2","47","2","40"
"20252","11","서울시","CS300015","가방","2973","2955","18","2","49","2","57"
"20252","11","서울시","CS300014","신발","4303","4221","82","1","38","2","87"
"20252","11","서울시","CS300013","유아의류","1701","1607","94","2","29","2","28"
"20252","11","서울시","CS300012","한복점","320","320","0","4","12","1","3"
"20252","11","서울시","CS300011","일반의류","47471","47379","92","2","1031","2","1006"
"20252","11","서울시","CS300010","반찬가게","9685","9346","339","3","242","2","223"
"20252","11","서울시","CS300009","청과상","9020","8979","41","1","106","2","205"
"20252","11","서울시","CS300008","수산물판매","5354","5310","44","0","9","2","101"
"20252","11","서울시","CS300007","육류판매","7048","7016","32","1","97","2","170"
"20252","11","서울시","CS300006","미곡판매","2912","2912","0","0","9","1","28"
"20252","11","서울시","CS300005","주류도매","892","892","0","0","0","2","15"
"20252","11","서울시","CS300004","핸드폰","6460","6412","48","0","22","2","153"
"20252","11","서울시","CS300003","컴퓨터및주변장치판매","9179","9176","3","1","49","1","100"
"20252","11","서울시","CS300002","편의점","9274","2565","6709","2","199","3","231"
"20252","11","서울시","CS300001","슈퍼마켓","12451","8689","3762","5","647","2","288"
"20252","11","서울시","CS200047","가정용품임대","1071","1069","2","0","2","2","19"
"20252","11","서울시","CS200046","의류임대","584","582","2","0","1","2","10"
"20252","11","서울시","CS200045","비디오/서적임대","221","200","21","1","3","1","1"
"20252","11","서울시","CS200044","여행사","6870","6865","5","1","44","1","90"
"20252","11","서울시","CS200043","건축물청소","5829","5720","109","0","12","2","96"
"20252","11","서울시","CS200042","통번역서비스","2156","2156","0","0","3","2","38"
"20252","11","서울시","CS200041","사진관","6849","6740","109","2","116","2","113"
"20252","11","서울시","CS200040","녹음실","1119","1117","2","0","2","2","20"
"20252","11","서울시","CS200039","DVD방","226","226","0","44","99","1","2"
"20252","11","서울시","CS200038","독서실","3466","2959","507","3","101","3","97"
"20252","11","서울시","CS200037","노래방","5656","5515","141","2","121","3","179"
"20252","11","서울시","CS200036","고시원","131","131","0","0","0","2","2"
"20252","11","서울시","CS200035","게스트하우스","1473","1460","13","0","4","2","32"
"20252","11","서울시","CS200034","여관","3160","3137","23","5","148","4","128"
"20252","11","서울시","CS200033","부동산중개업","38536","38483","53","0","43","2","725"
"20252","11","서울시","CS200032","가전제품수리","3037","3033","4","3","84","1","41"
"20252","11","서울시","CS200031","세탁소","6074","5026","1048","2","137","2","111"
"20252","11","서울시","CS200030","피부관리실","9592","9319","273","6","584","3","302"
"20252","11","서울시","CS200029","네일숍","4663","4575","88","0","2","3","127"
"20252","11","서울시","CS200028","미용실","21811","20169","1642","2","428","2","404"
"20252","11","서울시","CS200027","모터사이클수리","713","703","10","0","1","1","4"
"20252","11","서울시","CS200026","자동차미용","1762","1646","116","3","45","3","44"
"20252","11","서울시","CS200025","자동차수리","4577","4101","476","1","62","1","55"
"20252","11","서울시","CS200024","스포츠클럽","5006","4813","193","10","484","2","122"
"20252","11","서울시","CS200023","통신기기수리","540","540","0","3","18","1","7"
